Certainty.to.vote.in.general.election.10.is.certain,GEVote,DidyouvoteGE2015,Past.vote,Eurefvote,Certainty.to.vote.in.EU.referendum.10.is.certain,Gender,Age,Region,Ethnicity,Education,Housing,mosaic_2014_groups,parliamentary_constituency,local_authority
10,Conservative,Yes.I.voted,Conservative,Dont.know,10,Female,28,South.West,White,Level.3,Owned.with.a.mortgage.or.loan,G,E14000947,E06000030
10,UKIP,Yes.I.voted,Conservative,Leave,10,Male,33,East.Midlands,White,Level.3,Rented.from.private.landlord,I,E14000783,E06000016
"",Would.not.vote,No.I.chose.not.to.vote,"",Leave,1,Male,50,Scotland,White,Level.4,Rented.from.council/local.authority,D,S14000037,S12000034
"",Would.not.vote,No.I.chose.not.to.vote,"",Would.not.vote,0,Male,65,Wales,White,Level.4,Owned.outright.by.household,F,W07000074,W06000016
8,Liberal.Democrat,Yes.I.voted,Liberal.Democrat,Dont.know,Dont.know,Male,34,Scotland,White,Other,Owned.outright.by.household,I,E14000897,E08000005
"",Conservative,No.I.chose.not.to.vote,"",Remain,10,Female,38,Wales,White,Level.4,Owned.with.a.mortgage.or.loan,G,W07000073,W06000013
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Male,67,Scotland,White,Level.4,Owned.with.a.mortgage.or.loan,C,S14000015,S12000041
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,8,Male,46,Scotland,White,Level.1,Rented.from.council/local.authority,K,S14000010,S12000028
10,Green.Party,Yes.I.voted,Green.Party,Dont.know,9,Prefer.not.to.say,Prefer.not.to.say,East.of.England,White,Level.1,Rented.from.a.private.landlord.or.letting.agency,H,E14000746,E06000057
Dont.know,Labour,No.I.chose.not.to.vote,"",Dont.know,Dont.know,Male,24,South.West,Other.ethnic.group,Other,Social.housing.rented.other.than.from.council/local.authority,D,E14000787,E09000023
10,Labour,Yes.I.voted,Liberal.Democrat,Dont.know,6,Female,43,North.East,White,Level.2,Owned.outright.by.household,G,E14000849,E06000051
10,Conservative,Yes.I.voted,Conservative,Leave,10,Male,53,East.of.England,Mixed,Level.2,Owned.outright.by.household,C,E14000577,E07000033
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Leave,10,Female,59,Scotland,White,Level.4,Owned.outright.by.household,D,S14000049,S12000015
10,Liberal.Democrat,Yes.I.voted,Liberal.Democrat,Dont.know,10,Female,73,South.East,White,Level.4,Owned.outright.by.household,N,E14000786,E07000063
10,UKIP,Yes.I.voted,UKIP,"","",Male,59,South.East,White,Level.4,Owned.outright.by.household,F,E14000786,E07000065
10,Labour,No.I.chose.not.to.vote,0,Leave,10,Male,27,Yorkshire.and.The.Humber,White,Level.1,Rented.from.a.private.landlord.or.letting.agency,N,E14000548,E08000034
4,Dont.know,No.I.wanted.to.vote.but.was.unable.to.do.so,0,Leave,8,Male,53,East.Midlands,White,Level.1.or.2,Rented.from.Housing.Association,I,E14000792,E07000138
10,Labour,Yes.I.voted,Green.Party,Remain,10,Female,51,Wales,White,Level.1,Rented.from.a.private.landlord.or.letting.agency,M,E14000793,E08000012
10,Plaid.Cymru.-.the.Welsh.Nationalists,Yes.I.voted,Plaid.Cymru-.the.Welsh.Nationalists,Remain,10,Female,62,Wales,White,Level.2,Rented.from.a.private.landlord.or.letting.agency,H,W07000072,W06000019
10,UKIP,Yes.I.voted,Labour,Remain,10,Male,21,Yorkshire.and.The.Humber,White,Level.3,Rented.from.private.landlord,H,E14000917,E07000169
"",Labour,Yes.I.voted,Labour,Remain,10,Female,47,Wales,White,Level.1,Owned.with.a.mortgage.or.loan,M,W07000075,W06000016
"",UKIP,Cant.remember,"",Leave,10,Female,49,Wales,White,Level.1,Owned.with.a.mortgage.or.loan,H,W07000074,W06000013
10,Labour,Yes.I.voted,Labour,Remain,10,Male,56,Wales,White,Level.4,Being.bought.on.a.mortgage,M,W07000046,W06000011
5,UKIP,Cant.remember,"",Leave,10,Male,30,London,White,Level.2,Rented.from.council/local.authority,K,E14000764,E09000019
10,Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Leave,10,Female,58,Scotland,White,Dont.know,Prefer.not.to.say,I,S14000010,S12000021
"",Conservative,Yes.I.voted,Conservative,Remain,10,Male,59,London,White,Level.1,Owned.with.a.mortgage.or.loan,A,E14000759,E09000026
10,Labour,Yes.I.voted,Labour,Leave,"",Male,85,South.West,White,Level.4,Owned.outright.by.household,L,E14000880,E06000026
0,None.-.wont.vote,No.I.chose.not.to.vote,"",Would.not.vote,0,Male,44,South.East,White,No.qualifications,Owned.outright.by.household,I,E14000654,E09000008
10,Labour,Yes.I.voted,Labour,Remain,"",Female,31,London,White,Level.4,Being.bought.on.a.mortgage,O,E14000636,E09000003
Dont.know,Dont.know,No.I.was.ineligible.to.vote.in.that.General.Election,"",Dont.know,Dont.know,Female,62,South.East,White,0,Prefer.not.to.say,F,N06000015,N09000002
7,Dont.know,Yes.I.voted,Dont.remember,Leave,8,Female,29,South.East,White,Level.1,Owned.with.a.mortgage.or.loan,H,E14000659,E07000107
"",Plaid.Cymru.-.the.Welsh.Nationalists,Yes.I.voted,Dont.remember,Remain,Dont.know,Female,78,Wales,White,Level.2,Owned.outright.by.household,E,W07000057,W06000002
4,Dont.know,No.I.chose.not.to.vote,"",Dont.know,3,Female,56,South.East,White,0,Owned.outright.by.household,M,E14000863,E07000144
10,Labour,Yes.I.voted,Labour,Leave,10,Male,56,South.East,White,Level.1,Rented.from.a.private.landlord.or.letting.agency,B,E14000576,E07000224
10,Scottish.National.Party.SNP,Yes.I.voted,Labour,Remain,10,Female,43,Scotland,White,Level.1,Social.housing.rented.other.than.from.council/local.authority,I,S14000004,S12000041
"",Labour,Yes.I.voted,Labour,Dont.know,Dont.know,Male,61,London,Prefer.not.to.say,0,Prefer.not.to.say,N,E14000732,E09000015
10,Dont.know,Yes.I.voted,UKIP,"","",Female,43,West.Midlands,White,Level.1.or.2,Being.bought.on.a.mortgage,I,E14000868,E07000219
"",Dont.know,Yes.I.voted,Dont.know,Dont.know,10,Female,57,Wales,White,0,Owned.outright.by.household,D,W07000057,W06000002
10,Conservative,Yes.I.voted,Conservative,Leave,"",Female,34,London,White,Other,Rented.from.Housing.Association,K,E14000629,E09000013
10,Conservative,Yes.I.voted,Conservative,Remain,10,Male,52,West.Midlands,White,Level.4,Being.bought.on.a.mortgage,F,E14001058,E07000239
1,Labour,Yes.I.voted,Labour,Remain,1,Male,39,South.East,White,Level.4,Rented.from.council/local.authority,I,E14001027,E07000241
1,Conservative,No.I.wanted.to.vote.but.was.unable.to.do.so,"",Leave,10,Female,56,London,Prefer.not.to.say,0,Rented.from.council/local.authority,A,E14000629,E09000013
8,Conservative,Yes.I.voted,Conservative,Remain,"",Male,33,South.East,White,Level.4,Being.bought.on.a.mortgage,G,E14001056,E07000007
10,Conservative,Yes.I.voted,Conservative,Leave,10,Female,62,North.West,White,Other,Owned.with.a.mortgage.or.loan,M,E14000620,E07000028
10,UKIP,Yes.I.voted,UKIP,Leave,10,Male,28,South.East,White,Dont.know,Other/Dont.know,I,E14000626,E07000115
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Leave,9,Female,33,Scotland,White,Level.1,Owned.outright.by.household,I,S14000019,S12000029
"",Conservative,Yes.I.voted,Conservative,Leave,10,Male,64,Wales,White,Level.2,Owned.outright.by.household,J,W07000060,W06000004
10,Dont.know,Yes.I.voted,Dont.remember,Dont.know,10,Prefer.not.to.say,48,South.East,White,Level.1,Owned.with.a.mortgage.or.loan,G,E14000930,E06000039
"",UKIP,Yes.I.voted,Conservative,Dont.know,Dont.know,Female,59,London,White,Level.2,Owned.with.a.mortgage.or.loan,M,E14000737,E09000017
"",Labour,Yes.I.voted,Labour,Remain,10,Male,57,Wales,White,Level.2,Owned.with.a.mortgage.or.loan,F,W07000070,W06000016
10,UKIP,Yes.I.voted,UKIP,Leave,10,Male,60,North.West,White,No.formal.qualifications,Being.bought.on.a.mortgage,B,E14000943,E07000127
10,Conservative,Yes.I.voted,Conservative,Remain,10,Female,43,South.East,White,Level.4,Being.bought.on.a.mortgage,B,E14000681,E07000215
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Leave,9,Male,49,Scotland,White,Level.3,Rented.from.council/local.authority,I,S14000026,S12000036
1,UKIP,No.I.wanted.to.vote.but.was.unable.to.do.so,0,Leave,4,Female,32,North.West,White,Level.3,Being.bought.on.a.mortgage,H,E14000646,E06000049
10,Conservative,Yes.I.voted,Conservative,Dont.know,10,Female,73,South.East,White,Level.4,Owned.outright.by.household,E,E14000536,E07000105
10,Labour,Yes.I.voted,Labour,Remain,10,Female,60,Scotland,White,Level.2,Owned.outright.by.household,F,S14000017,S12000015
1,Conservative,No.I.wanted.to.vote.but.was.unable.to.do.so,"",Leave,5,Male,64,South.West,White,Level.2,Owned.with.a.mortgage.or.loan,E,E14000630,E07000078
"",Dont.know,No.I.wanted.to.vote.but.was.unable.to.do.so,"",Leave,10,Female,65,Wales,White,Other,Owned.outright.by.household,I,W07000071,W06000024
10,Labour,Yes.I.voted,UKIP,Leave,10,Male,Prefer.not.to.say,East.of.England,White,Level.4,Rented.from.a.private.landlord.or.letting.agency,F,E14000689,E08000035
"",Conservative,Yes.I.voted,Conservative,Leave,10,Male,84,Wales,White,0,Owned.outright.by.household,C,W07000068,W06000023
10,Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Female,45,Scotland,White,Level.4,Owned.outright.by.household,M,S14000047,S12000044
5,UKIP,Yes.I.voted,UKIP,Leave,"",Male,28,South.East,White,Other,Rented.from.Housing.Association,J,E14000745,E07000098
"",Liberal.Democrat,Yes.I.voted,Liberal.Democrat,Remain,10,Female,65,Wales,White,No.qualifications,Social.housing.rented.other.than.from.council/local.authority,D,W07000068,W06000023
6,Dont.know,No.I.wanted.to.vote.but.was.unable.to.do.so,"",Remain,7,Male,36,London,Prefer.not.to.say,Level.2,Prefer.not.to.say,O,E14000691,E09000010
10,Conservative,Yes.I.voted,Conservative,Leave,10,Male,55,Prefer.not.to.say,White,Level.2,Owned.outright.by.household,F,N06000005,N09000008
10,UKIP,Yes.I.voted,Labour,Leave,10,Male,22,Yorkshire.and.The.Humber,White,Other,Rented.from.private.landlord,O,E14000826,E08000036
"",Labour,Yes.I.voted,Labour,Remain,10,Female,71,Wales,White,Level.1,Owned.outright.by.household,C,W07000054,W06000021
10,Labour,Yes.I.voted,Labour,Remain,10,Male,68,North.East,White,Level.2,Rented.from.a.private.landlord.or.letting.agency,K,E14000963,E08000013
10,Conservative,Yes.I.voted,Conservative,Remain,10,Male,63,South.East,White,Other,Owned.outright.by.household,E,E14000948,E07000114
4,None.-.wont.vote,Yes.I.voted,Liberal.Democrat,Dont.know,7,Female,42,North.East,White,Other,Rented.from.a.private.landlord.or.letting.agency,M,E14000840,E06000047
2,Dont.know,No.I.chose.not.to.vote,"",Dont.know,2,Female,30,East.Midlands,White,Level.1,Rented.from.council/local.authority,J,E14000663,E06000015
8,Labour,Yes.I.voted,Labour,Remain,10,Male,58,West.Midlands,Asian/Asian.British,Level.3,Being.bought.on.a.mortgage,F,E14000651,E08000026
10,Conservative,Yes.I.voted,Conservative,Remain,10,Female,25,North.West,White,Level.1,Owned.with.a.mortgage.or.loan,J,E14000967,E08000008
"",Liberal.Democrat,Yes.I.voted,Conservative,Remain,1,Female,43,Scotland,White,Level.3,Owned.with.a.mortgage.or.loan,H,S14000025,S12000036
"",Conservative,Yes.I.voted,Conservative,Remain,10,Female,73,Scotland,White,No.qualifications,Owned.outright.by.household,L,S14000043,S12000040
0,None.-.wont.vote,No.I.chose.not.to.vote,0,Remain,"",Female,23,South.East,White,Other,Rented.from.private.landlord,A,E14000786,E07000063
5,UKIP,No.I.wanted.to.vote.but.was.unable.to.do.so,0,Leave,8,Female,42,North.East,White,Level.2,Rented.from.council/local.authority,J,E14000641,E06000047
10,Conservative,Yes.I.voted,Conservative,Leave,10,Male,27,West.Midlands,White,Level.4,Owned.outright.by.household,H,E14000548,E08000034
10,Dont.know,Yes.I.voted,0,Dont.know,10,Prefer.not.to.say,36,Prefer.not.to.say,Prefer.not.to.say,0,Prefer.not.to.say,A,E14000978,E09000022
Dont.know,Labour,Yes.I.voted,Labour,Dont.know,Dont.know,Female,21,Wales,White,Level.1,Rented.from.council/local.authority,L,W07000053,W06000020
10,Liberal.Democrat,Yes.I.voted,Liberal.Democrat,Remain,10,Female,33,South.West,White,Level.4,Being.bought.on.a.mortgage,J,E14000990,E07000083
10,Conservative,Cant.remember,0,Dont.know,Dont.know,Female,61,South.East,White,No.qualifications,Owned.with.a.mortgage.or.loan,M,E14000995,E06000034
10,Liberal.Democrat,Yes.I.voted,Liberal.Democrat,Remain,"",Female,38,South.East,White,Level.4,Being.bought.on.a.mortgage,G,E14000844,E07000089
10,Conservative,Yes.I.voted,Conservative,Leave,10,Male,68,East.of.England,White,Level.1,Owned.with.a.mortgage.or.loan,L,E14000900,E09000016
"",Green.Party,Yes.I.voted,Green.Party,Remain,3,Female,50,Scotland,White,No.qualifications,Rented.from.council/local.authority,D,S14000055,S12000017
7,Liberal.Democrat,Yes.I.voted,Liberal.Democrat,Remain,8,Female,62,South.West,White,Level.1,Owned.outright.by.household,M,E14000994,E06000025
0,None.-.wont.vote,Yes.I.voted,Labour,Leave,1,Female,71,South.East,Other.ethnic.group,Level.4,Rented.from.private.landlord,H,E14000539,E07000177
3,Labour,Yes.I.voted,Labour,Remain,10,Male,67,West.Midlands,White,Level.2,Rented.from.a.private.landlord.or.letting.agency,F,E14000998,E09000032
10,Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,"","",Male,46,Scotland,White,Level.3,Being.bought.on.a.mortgage,G,S14000037,S12000033
8,Labour,Yes.I.voted,Labour,Leave,9,Male,22,North.West,White,Level.1.or.2,Rented.from.private.landlord,M,E14000894,E07000126
10,Conservative,Yes.I.voted,Conservative,Leave,"",Female,72,South.East,White,Level.1.or.2,Owned.outright.by.household,B,E14000715,E07000109
9,Conservative,Yes.I.voted,Conservative,Leave,7,Female,61,South.East,White,Level.4,Owned.with.a.mortgage.or.loan,I,S14000048,S12000021
2,Conservative,Yes.I.voted,Conservative,Would.not.vote,1,Female,42,East.of.England,White,0,Rented.from.council/local.authority,O,E14000824,E07000210
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Male,63,Scotland,White,Apprenticeship,Rented.from.council/local.authority,L,S14000016,S12000042
"",UKIP,Yes.I.voted,Conservative,Leave,8,Male,40,Wales,White,0,Owned.with.a.mortgage.or.loan,H,W07000055,W06000022
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Male,44,Scotland,White,Level.1,Owned.outright.by.household,B,S14000037,S12000033
10,Dont.know,Yes.I.voted,Labour,Remain,10,Female,29,North.West,White,0,Owned.outright.by.household,M,E14000781,E08000035
10,Liberal.Democrat,Yes.I.voted,Liberal.Democrat,Remain,9,Male,55,East.of.England,White,Level.4,Being.bought.on.a.mortgage,B,E14000813,E06000056
10,Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Female,64,Scotland,White,Level.1,Owned.outright.by.household,M,S14000048,S12000021
10,Labour,No.I.wanted.to.vote.but.was.unable.to.do.so,"",Leave,8,Male,56,London,White,0,Rented.from.council/local.authority,N,E14001059,E08000003
"",Labour,Yes.I.voted,Labour,Dont.know,10,Female,59,London,White,Level.2,Owned.with.a.mortgage.or.loan,A,E14000555,E09000030
10,UKIP,Yes.I.voted,Conservative,Dont.know,10,Male,63,West.Midlands,White,Level.3,Being.bought.on.a.mortgage,F,E14000976,E08000027
10,Dont.know,Yes.I.voted,Conservative,Remain,"",Female,32,London,White,Level.4,Being.bought.on.a.mortgage,O,E14000654,E09000008
10,Conservative,Yes.I.voted,Conservative,Remain,10,Male,33,South.West,White,Level.1,Owned.with.a.mortgage.or.loan,O,E14000983,E07000214
10,Labour,Yes.I.voted,Labour,Leave,10,Female,71,North.West,White,Level.2,Social.housing.rented.other.than.from.council/local.authority,L,E14000807,E08000003
"",Labour,Yes.I.voted,Labour,Remain,10,Male,68,Wales,White,Level.2,Owned.outright.by.household,F,W07000054,W06000021
10,Conservative,Yes.I.voted,Conservative,Leave,10,Male,82,London,White,Level.4,Owned.outright.by.household,B,E14000656,E09000008
"",Would.not.vote,No.I.was.ineligible.to.vote.in.that.General.Election,"",Leave,2,Male,47,London,Black./.African./.Caribbean./.Black.British,Level.1,Rented.from.council/local.authority,K,E14000887,E09000032
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Leave,10,Male,54,Scotland,White,Level.1,Owned.with.a.mortgage.or.loan,M,S14000053,S12000038
10,Dont.know,Yes.I.voted,Labour,Dont.know,10,Male,56,South.West,White,Level.1,Owned.with.a.mortgage.or.loan,D,E14000996,E07000042
"",Conservative,Yes.I.voted,Conservative,Leave,10,Male,53,Wales,White,Level.1,Owned.with.a.mortgage.or.loan,C,W07000055,W06000022
10,Labour,Yes.I.voted,Labour,Dont.know,10,Female,67,Yorkshire.and.The.Humber,White,Level.1.or.2,Rented.from.private.landlord,F,E14000993,E07000167
"",Dont.know,Yes.I.voted,Conservative,Remain,10,Female,58,Scotland,White,Level.1,Owned.outright.by.household,M,S14000044,S12000040
10,Labour,Yes.I.voted,Labour,Remain,10,Male,50,East.Midlands,Black/Black.British,Level.4,Being.bought.on.a.mortgage,F,E14000782,E06000016
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Male,64,Scotland,White,Level.3,Owned.outright.by.household,E,S14000053,S12000038
10,Conservative,Yes.I.voted,Conservative,Remain,"",Male,65,South.East,White,Other,Owned.outright.by.household,B,E14000803,E06000040
9,Conservative,Yes.I.voted,Conservative,Remain,"",Female,46,South.East,White,Level.3,Rented.from.private.landlord,N,E14000735,E07000062
"",Other.party,No.I.chose.not.to.vote,"",Remain,10,Prefer.not.to.say,49,London,Asian./.Asian.British:.Pakistani,Level.4,Rented.from.council/local.authority,O,E14001007,E09000017
9,Dont.know,Yes.I.voted,Liberal.Democrat,"","",Female,30,South.East,White,Level.4,Being.bought.on.a.mortgage,O,E14000697,E07000207
9,Conservative,Yes.I.voted,Conservative,Remain,9,Male,54,North.West,White,Dont.know,Prefer.not.to.say,E,E14000738,E08000007
10,Labour,Yes.I.voted,Labour,Remain,10,Male,67,South.East,White,Level.2,Owned.with.a.mortgage.or.loan,B,E14001032,E09000025
1,UKIP,No.I.chose.not.to.vote,"",Leave,10,Female,79,Prefer.not.to.say,White,0,Owned.outright.by.household,E,E14000538,E07000004
10,Conservative,Yes.I.voted,Conservative,"","",Male,55,London,White,Level.1.or.2,Owned.outright.by.household,E,E14001007,E09000017
9,Conservative,No.I.wanted.to.vote.but.was.unable.to.do.so,"",Leave,10,Male,30,North.West,White,Level.2,Owned.with.a.mortgage.or.loan,J,E14000803,E06000040
10,Conservative,Yes.I.voted,Conservative,Dont.know,9,Female,46,London,White,Level.3,Being.bought.on.a.mortgage,N,E14000789,E09000023
10,UKIP,Yes.I.voted,UKIP,Leave,10,Female,49,Yorkshire.and.The.Humber,White,Level.1,Owned.outright.by.household,K,E14000535,E07000170
"",Would.not.vote,Yes.I.voted,Liberal.Democrat,Leave,10,Male,73,Scotland,White,Level.2,Owned.outright.by.household,D,S14000039,S12000017
"",Green.Party,Yes.I.voted,Labour,Leave,10,Male,35,Wales,White,Level.1,Owned.with.a.mortgage.or.loan,H,W07000072,W06000019
10,Labour,Yes.I.voted,Labour,Remain,10,Female,31,South.East,Black/Black.British,Level.1,Owned.with.a.mortgage.or.loan,N,E14000540,E09000002
1,UKIP,No.I.chose.not.to.vote,0,Leave,"",Male,20,South.West,White,Level.3,Rented.from.Housing.Association,K,E14001026,E07000187
10,Conservative,Yes.I.voted,Conservative,Remain,10,Female,44,South.East,White,Level.1,Owned.outright.by.household,G,E14000759,E09000026
10,Conservative,Yes.I.voted,Liberal.Democrat,Remain,10,Female,45,Wales,White,Level.1,Owned.with.a.mortgage.or.loan,M,W07000046,W06000011
10,UKIP,Yes.I.voted,UKIP,"","",Male,68,South.East,White,Dont.know,Owned.outright.by.household,F,E14000822,E06000042
1,None.-.wont.vote,No.I.chose.not.to.vote,0,Dont.know,0,Female,41,South.East,White,0,Rented.from.a.private.landlord.or.letting.agency,F,E14000557,E07000064
"",Conservative,Yes.I.voted,Conservative,Remain,10,Female,53,Wales,White,Level.1,Owned.with.a.mortgage.or.loan,B,W07000055,W06000021
Dont.know,Dont.know,Cant.remember,"",Would.not.vote,Dont.know,Prefer.not.to.say,28,Yorkshire.and.The.Humber,Prefer.not.to.say,0,Prefer.not.to.say,J,E14000968,E07000243
10,UKIP,Yes.I.voted,UKIP,Leave,10,Female,53,South.West,White,Level.4,Owned.outright.by.household,F,E14000961,E06000052
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Female,36,Scotland,White,Level.1,Owned.outright.by.household,I,S14000001,S12000033
